"","CODIGO_ENTIDAD","NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","CODIGO_FILIAL","NOMBRE_FILIAL","DEPARTAMENTO_FILIAL","PROVINCIA_FILIAL","CODIGO_LOCAL","DEPARTAMENTO_LOCAL","PROVINCIA_LOCAL","DISTRITO_LOCAL","LATITUD_UBICACION","LONGITUD_UBICACION","TIPO_AUTORIZACION_LOCAL","DENOMINACION_PROGRAMA","TIPO_NIVEL_ACADEMICO","NIVEL_ACADEMICO","CODIGO_CLASE_PROGRAMA_N2","NOMBRE_CLASE_PROGRAMA_N2","TIPO_AUTORIZACION_PROGRAMA","TIPO_AUTORIZACION_PROGRAMA_LOCAL"
"1","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UTP-LIMA","LIMA","LIMA","SL09","LIMA","LIMA","SAN JUAN DE LURIGANCHO",-11.98329601,-77.00953028,"AUTORIZADO POR LIC.","ADMINISTRACIÓN DE EMPRESAS","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2","008","PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ","PRIVADO","LICENCIA OTORGADA",10,"S","PUCP-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SAN MIGUEL",-12.0693438,-77.080122,"AUTORIZADO POR LIC.","DERECHO DE LA EMPRESA CON MENCIÓN EN RESPONSABILIDAD SOCIAL","POSGRADO","MAESTRÍA",42,"DERECHO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"3","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UTP-LIMA","LIMA","LIMA","SL02","LIMA","LIMA","LIMA",-12.06576795,-77.03693393,"AUTORIZADO POR LIC.","INGENIERÍA MARÍTIMA CON MENCIÓN PUENTE","PREGRADO","CARRERA PROFESIONAL",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"4","052A","UNIVERSIDAD CÉSAR VALLEJO S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F01","UPCV-PIURA","PIURA","PIURA","F01L01","PIURA","PIURA","VEINTISEIS DE OCTUBRE",-5.168798939,-80.65734342,"AUTORIZADO POR LIC.","MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS - MBA","POSGRADO","MAESTRÍA",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"5","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F02","UTP-LAMBAYEQUE","LAMBAYEQUE","CHICLAYO","F02L01","LAMBAYEQUE","CHICLAYO","CHICLAYO",-6.7929064,-79.8644851,"AUTORIZADO POR LIC.","INGENIERÍA DE SISTEMAS E INFORMÁTICA","PREGRADO","CARRERA PROFESIONAL",61,"INFORMÁTICA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"6","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL04","LIMA","LIMA","MIRAFLORES",-12.13402606,-77.02627908,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN GERIATRÍA","POSGRADO","SEGUNDA ESPECIALIDAD",92,"BIENESTAR","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"7","054","UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UPC-LIMA","LIMA","LIMA","SL10","LIMA","LIMA","CHORRILLOS",-12.1964766,-77.0055369,"AUTORIZADO POR LIC.","MAESTRÍA EN TRADUCCIÓN","POSGRADO","MAESTRÍA",23,"IDIOMAS","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"8","041","UNIVERSIDAD NACIONAL DE TUMBES","PÚBLICO","LICENCIA OTORGADA",6,"S","UNT-TUMBES","TUMBES","TUMBES","SL01","TUMBES","TUMBES","TUMBES",-3.585267,-80.443305,"AUTORIZADO POR LIC.","MAESTRÍA EN DERECHO CON MENCIÓN EN DERECHO CONSTITUCIONAL Y ADMINISTRATIVO","POSGRADO","MAESTRÍA",42,"DERECHO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"9","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL04","LIMA","LIMA","MIRAFLORES",-12.13402606,-77.02627908,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ODONTOLOGÍA FORENSE","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"10","003","UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","PÚBLICO","LICENCIA OTORGADA",8,"F06","UNSAAC-APURÍMAC","APURÍMAC","ANDAHUAYLAS","F06L01","APURÍMAC","ANDAHUAYLAS","ANDAHUAYLAS",-13.6616515,-73.3767641,"AUTORIZADO POR LIC.","MAESTRÍA EN CONTABILIDAD MENCIÓN TRIBUTACIÓN","POSGRADO","MAESTRÍA",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"11","010","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","PÚBLICO","LICENCIA OTORGADA",6,"S","UNCP-JUNÍN","JUNÍN","HUANCAYO","SL01","JUNÍN","HUANCAYO","EL TAMBO",-12.0330464,-75.237332,"AUTORIZADO POR LIC.","MAESTRÍA EN ADMINISTRACIÓN MENCIÓN MARKETING Y GESTIÓN DE NEGOCIOS INTERNACIONALES","POSGRADO","MAESTRÍA",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"12","049","UNIVERSIDAD MARCELINO CHAMPAGNAT","PRIVADO","LICENCIA OTORGADA",6,"S","UMCH-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SANTIAGO DE SURCO",-12.1363972,-77.0057685,"AUTORIZADO POR LIC.","COMPLEMENTACIÓN ACADÉMICA","PREGRADO","CARRERA PROFESIONAL",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"13","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL03","LIMA","LIMA","SAN ISIDRO",-12.091066,-77.052041,"AUTORIZADO POR LIC.","PSICOLOGÍA DE LA SALUD","POSGRADO","SEGUNDA ESPECIALIDAD",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"14","042","UNIVERSIDAD NACIONAL DEL SANTA","PÚBLICO","LICENCIA OTORGADA",6,"S","UNS-ÁNCASH","ÁNCASH","SANTA","SL01","ÁNCASH","SANTA","NUEVO CHIMBOTE",-9.1195533,-78.5133704,"DECLARADO","SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA MENCIÓN CUIDADO INTEGRAL INFANTIL: CRECIMIENTO Y DESARROLLO","POSGRADO","SEGUNDA ESPECIALIDAD",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"15","012","UNIVERSIDAD NACIONAL DEL ALTIPLANO","PÚBLICO","LICENCIA OTORGADA",6,"S","UNA-PUNO","PUNO","PUNO","SL01","PUNO","PUNO","PUNO",-15.8243805,-70.0162544,"AUTORIZADO POR LIC.","DOCTORADO EN CIENCIA, TECNOLOGÍA Y MEDIO AMBIENTE","POSGRADO","DOCTORADO",52,"MEDIO AMBIENTE","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"16","046","UNIVERSIDAD PRIVADA ANTENOR ORREGO","PRIVADO","LICENCIA OTORGADA",6,"S","UPAO-LA LIBERTAD","LA LIBERTAD","TRUJILLO","SL01","LA LIBERTAD","TRUJILLO","TRUJILLO",-8.1270487,-79.0314756,"AUTORIZADO POR LIC.","PSIQUIATRÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"17","068","UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UCS-LIMA","LIMA","LIMA","SL04","LIMA","LIMA","MIRAFLORES",-12.1194134,-77.0261271,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIDAD EN RADIOLOGÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"18","046","UNIVERSIDAD PRIVADA ANTENOR ORREGO","PRIVADO","LICENCIA OTORGADA",6,"F01","UPAO-PIURA","PIURA","PIURA","F01L01","PIURA","PIURA","PIURA",-5.1782884,-80.6548882,"AUTORIZADO POR LIC.","INGENIERÍA CIVIL","PREGRADO","CARRERA PROFESIONAL",73,"ARQUITECTURA Y CONSTRUCCIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"19","071","UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE","PRIVADO","LICENCIA OTORGADA",6,"F02","UCSS-UCAYALI","UCAYALI","ATALAYA","F02L01","UCAYALI","ATALAYA","RAYMONDI",-10.7299969,-73.7556001,"AUTORIZADO POR LIC.","INGENIERÍA AGRARIA CON MENCIÓN FORESTAL","PREGRADO","CARRERA PROFESIONAL",82,"SILVICULTURA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"20","034","UNIVERSIDAD NACIONAL DE SAN MARTÍN","PÚBLICO","LICENCIA OTORGADA",6,"S","UNSM-SAN MARTÍN","SAN MARTÍN","SAN MARTÍN","SL02","SAN MARTÍN","SAN MARTÍN","MORALES",-6.484769492,-76.37760713,"AUTORIZADO POR LIC.","DOCTORADO EN CIENCIAS DE LA EDUCACIÓN","POSGRADO","DOCTORADO",19,"OTROS PROGRAMAS EN EDUCACIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"21","068","UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UCS-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","VILLA EL SALVADOR",-12.2215281,-76.9766998,"AUTORIZADO POR LIC.","ENFERMERÍA","PREGRADO","CARRERA PROFESIONAL",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"22","008","PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ","PRIVADO","LICENCIA OTORGADA",10,"S","PUCP-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SAN MIGUEL",-12.0693438,-77.080122,"AUTORIZADO POR LIC.","DOCTORADO EN HISTORIA","POSGRADO","DOCTORADO",22,"HUMANIDADES","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"23","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SAN MARTÍN DE PORRES",-12.0239471,-77.0564991,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN PSIQUIATRÍA COMUNITARIA Y SOCIAL","POSGRADO","SEGUNDA ESPECIALIDAD",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"24","012","UNIVERSIDAD NACIONAL DEL ALTIPLANO","PÚBLICO","LICENCIA OTORGADA",6,"S","UNA-PUNO","PUNO","PUNO","SL01","PUNO","PUNO","PUNO",-15.8243805,-70.0162544,"AUTORIZADO POR LIC.","MAESTRÍA EN EDUCACIÓN MENCIÓN EN EDUCACIÓN INTERCULTURAL BILINGÜE","POSGRADO","MAESTRÍA",19,"OTROS PROGRAMAS EN EDUCACIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"25","007","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","PÚBLICO","LICENCIA OTORGADA",8,"S","UNALM-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LA MOLINA",-12.0817493,-76.9431895,"AUTORIZADO POR LIC.","INGENIERÍA EN GESTIÓN EMPRESARIAL","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"26","015","UNIVERSIDAD CATÓLICA DE SANTA MARÍA","PRIVADO","LICENCIA OTORGADA",6,"S","UCSM-AREQUIPA","AREQUIPA","AREQUIPA","SL02","AREQUIPA","AREQUIPA","AREQUIPA",-16.4048982,-71.5498378,"AUTORIZADO POR LIC.","MAESTRÍA EN SALUD OCUPACIONAL Y DEL MEDIO AMBIENTE","POSGRADO","MAESTRÍA",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"27","005","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA","PÚBLICO","LICENCIA OTORGADA",10,"S","UNSA-AREQUIPA","AREQUIPA","AREQUIPA","SL02","AREQUIPA","AREQUIPA","AREQUIPA",-16.4086078,-71.5285764,"AUTORIZADO POR LIC.","CIENCIAS DE LA COMUNICACIÓN CON ESPECIALIDAD EN PERIODISMO","PREGRADO","CARRERA PROFESIONAL",32,"PERIODISMO E INFORMACIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"28","013","UNIVERSIDAD NACIONAL DE PIURA","PÚBLICO","LICENCIA OTORGADA",6,"S","UNP-PIURA","PIURA","PIURA","SL01","PIURA","PIURA","CASTILLA",-5.179311,-80.6188325,"AUTORIZADO POR LIC.","MAESTRÍA EN SALUD PÚBLICA CON MENCIÓN EN EDUCACIÓN MÉDICA","POSGRADO","MAESTRÍA",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"29","015","UNIVERSIDAD CATÓLICA DE SANTA MARÍA","PRIVADO","LICENCIA OTORGADA",6,"S","UCSM-AREQUIPA","AREQUIPA","AREQUIPA","SL01","AREQUIPA","AREQUIPA","AREQUIPA",-16.4061786,-71.5476298,"AUTORIZADO POR LIC.","ENFERMERÍA EN PEDIATRÍA","POSGRADO","SEGUNDA ESPECIALIDAD",92,"BIENESTAR","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"30","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PÚBLICO","LICENCIA OTORGADA",10,"S","UNMSM-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LIMA",-12.0560257,-77.0844226,"AUTORIZADO POR LIC.","CIENCIAS DE LA GESTIÓN ECONÓMICO EMPRESARIAL","POSGRADO","MAESTRÍA",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"31","055","UNIVERSIDAD PRIVADA DEL NORTE S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UPN-LA LIBERTAD","LA LIBERTAD","TRUJILLO","SL03","LA LIBERTAD","TRUJILLO","TRUJILLO",-8.0950664,-79.0498645,"AUTORIZADO POR LIC.","INGENIERÍA AMBIENTAL","PREGRADO","CARRERA PROFESIONAL",52,"MEDIO AMBIENTE","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"32","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL04","LIMA","LIMA","MIRAFLORES",-12.13402606,-77.02627908,"AUTORIZADO POR LIC.","PSICOLOGÍA ESCOLAR Y PROBLEMAS DE APRENDIZAJE","POSGRADO","SEGUNDA ESPECIALIDAD",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"33","052A","UNIVERSIDAD CÉSAR VALLEJO S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F07","UPCV-SAN MARTÍN","SAN MARTÍN","MOYOBAMBA","F07L03","SAN MARTÍN","MOYOBAMBA","MOYOBAMBA",-6.032752051,-76.97476265,"AUTORIZADO POR LIC.","DERECHO","PREGRADO","CARRERA PROFESIONAL",42,"DERECHO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"34","061","UNIVERSIDAD PRIVADA NORBERT WIENER S.A.","PRIVADO","LICENCIA OTORGADA",6,"S","UPNW-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LIMA",-12.0697607,-77.0374712,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIDAD EN GESTIÓN DE SERVICIOS DE SALUD Y ENFERMERÍA","POSGRADO","SEGUNDA ESPECIALIDAD",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"35","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PÚBLICO","LICENCIA OTORGADA",10,"S","UNMSM-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LIMA",-12.0560257,-77.0844226,"AUTORIZADO POR LIC.","COMPUTACIÓN E INFORMÁTICA","POSGRADO","SEGUNDA ESPECIALIDAD",61,"INFORMÁTICA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"36","006","UNIVERSIDAD NACIONAL DE INGENIERÍA","PÚBLICO","LICENCIA OTORGADA",10,"S","UNI-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","RÍMAC",-12.0220074,-77.0493646,"AUTORIZADO POR LIC.","MAESTRÍA EN CIENCIAS EN INGENIERÍA DE SISTEMAS","POSGRADO","MAESTRÍA",61,"INFORMÁTICA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"37","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SAN MARTÍN DE PORRES",-12.0239471,-77.0564991,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA EN SALUD OCUPACIONAL","POSGRADO","SEGUNDA ESPECIALIDAD",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"38","054","UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UPC-LIMA","LIMA","LIMA","SL07","LIMA","LIMA","SAN MIGUEL",-12.0810086,-77.0707359,"AUTORIZADO POR LIC.","DISEÑO PROFESIONAL DE INTERIORES","PREGRADO","CARRERA PROFESIONAL",21,"ARTE","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"39","055","UNIVERSIDAD PRIVADA DEL NORTE S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F02","UPN-LIMA","LIMA","LIMA","F02L01","LIMA","LIMA","LOS OLIVOS",-11.9646093,-77.0675632,"AUTORIZADO POR LIC.","COMUNICACIÓN AUDIOVISUAL EN MEDIOS DIGITALES","PREGRADO","CARRERA PROFESIONAL",21,"ARTE","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"40","019","UNIVERSIDAD DE SAN MARTÍN DE PORRES","PRIVADO","LICENCIA OTORGADA",6,"S","USMP-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SANTA ANITA",-12.045948,-76.9681914,"AUTORIZADO POR LIC.","NEUROCIRUGÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"41","061","UNIVERSIDAD PRIVADA NORBERT WIENER S.A.","PRIVADO","LICENCIA OTORGADA",6,"S","UPNW-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LIMA",-12.0697607,-77.0374712,"AUTORIZADO POR LIC.","TECNOLOGÍA MÉDICA EN LABORATORIO CLÍNICO Y ANATOMÍA PATOLÓGICA","PREGRADO","CARRERA PROFESIONAL",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"42","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F05","UTP-ICA","ICA","ICA","F05L01","ICA","ICA","ICA",-14.07546,-75.7341811,"AUTORIZADO POR LIC.","INGENIERÍA INDUSTRIAL","PREGRADO","CARRERA PROFESIONAL",72,"INDUSTRIA Y PRODUCCIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"43","004","UNIVERSIDAD NACIONAL DE TRUJILLO","PÚBLICO","LICENCIA OTORGADA",8,"S","UNT-LA LIBERTAD","LA LIBERTAD","TRUJILLO","SL01","LA LIBERTAD","TRUJILLO","TRUJILLO",-8.1142716,-79.0383735,"AUTORIZADO POR LIC.","TURISMO","PREGRADO","CARRERA PROFESIONAL",1,"SERVICIOS PERSONALES","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"44","027","UNIVERSIDAD NACIONAL DEL CALLAO","PÚBLICO","LICENCIA OTORGADA",6,"S","UNC-CALLAO","CALLAO","PROV. CONST. DEL CALLAO","SL01","CALLAO","PROV. CONST. DEL CALLAO","BELLAVISTA",-12.0612769,-77.1173082,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA EN CRECIMIENTO, DESARROLLO DEL NIÑO Y ESTIMULACIÓN DE LA PRIMERA INFANCIA","POSGRADO","SEGUNDA ESPECIALIDAD",92,"BIENESTAR","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"45","019","UNIVERSIDAD DE SAN MARTÍN DE PORRES","PRIVADO","LICENCIA OTORGADA",6,"S","USMP-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SANTA ANITA",-12.045948,-76.9681914,"AUTORIZADO POR LIC.","CIRUGÍA PEDIÁTRICA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"46","052A","UNIVERSIDAD CÉSAR VALLEJO S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F05","UPCV-LIMA","LIMA","LIMA","F05L03","LIMA","LIMA","ATE",-12.0228788,-76.9105401,"AUTORIZADO POR LIC.","ADMINISTRACIÓN","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
