"CODIGO_ENTIDAD","NOMBRE","LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","PROGRAMAS_TOTAL","CANTIDAD_CARNES"
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","SI",10,320,33873
3,"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","SI",8,265,20340
4,"UNIVERSIDAD NACIONAL DE TRUJILLO","SI",8,252,16138
6,"UNIVERSIDAD NACIONAL DE INGENIERIA","SI",10,97,11173
7,"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","SI",8,48,7721
8,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SI",10,256,36932
10,"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","SI",6,107,11545
11,"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","SI",8,240,8437
12,"UNIVERSIDAD NACIONAL DEL ALTIPLANO","SI",6,164,15229
13,"UNIVERSIDAD NACIONAL DE PIURA","SI",6,138,12472
14,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","SI",10,698,9642
15,"UNIVERSIDAD CATOLICA DE SANTA MARIA","SI",6,165,12799
16,"UNIVERSIDAD NACIONAL DE CAJAMARCA","SI",6,58,5559
17,"UNIVERSIDAD DEL PACIFICO","SI",8,30,7825
18,"UNIVERSIDAD DE LIMA","SI",6,18,22330
19,"UNIVERSIDAD DE SAN MARTIN DE PORRES","SI",6,252,35712
20,"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON","SI",6,38,4183
22,"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA","SI",6,28,3072
27,"UNIVERSIDAD NACIONAL DEL CALLAO","SI",6,75,16438
29,"UNIVERSIDAD DE PIURA","SI",8,90,6831
30,"UNIVERSIDAD RICARDO PALMA","SI",6,98,17450
32,"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","SI",6,81,7569
33,"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","SI",6,63,1131
34,"UNIVERSIDAD NACIONAL DE SAN MARTIN","SI",6,45,5597
35,"UNIVERSIDAD NACIONAL DE UCAYALI","SI",6,78,1264
38,"UNIVERSIDAD PERUANA UNION","SI",6,92,8484
